BUBBA, WAN, NAWAB, BUB; BUBBA WAN NAWAB BUB
LIMBA, WAN, NAWAB, MIL; LIMBA WAN NAWAB MIL
SAMBA, WAN, NAWAB, MAS; SAMBA WAN NAWAB MAS
BUBBA, HER, REHAB, BUB; BUBBA HER REHAB BUB
LIMBA, HER, REHAB, MIL; LIMBA HER REHAB MIL
SAMBA, HER, REHAB, MAS; SAMBA HER REHAB MAS
CASABA, SAC, CASABA, SAC; CASABA SAC CASABA SAC
CASSABA, SAC, CASABAS, SAC; CASSABA SAC CASABAS SAC
ABACA, RES, SERAC, ABA; ABACA RES SERAC ABA
ARECA, RES, SERAC, ERA; ARECA RES SERAC ERA
BACCA, RES, SERAC, CAB; BACCA RES SERAC CAB
MUSCA, RES, SERAC, SUM; MUSCA RES SERAC SUM
PATACA, RES, SERAC, ATAP; PATACA RES SERAC ATAP
ABACA, MUS, SUMAC, ABA; ABACA MUS SUMAC ABA
ARECA, MUS, SUMAC, ERA; ARECA MUS SUMAC ERA
BACCA, MUS, SUMAC, CAB; BACCA MUS SUMAC CAB
MUSCA, MUS, SUMAC, SUM; MUSCA MUS SUMAC SUM
PATACA, MUS, SUMAC, ATAP; PATACA MUS SUMAC ATAP
MARACA, RAM, MARACA, RAM; MARACA RAM MARACA RAM
PATACA, RAM, MARACA, TAP; PATACA RAM MARACA TAP
MARACA, TAP, PATACA, RAM; MARACA TAP PATACA RAM
PATACA, TAP, PATACA, TAP; PATACA TAP PATACA TAP
MALACCA, LAM, MALACCA, LAM; MALACCA LAM MALACCA LAM
MANDIOCA, ROC, CORACOID, NAM; MANDIOCA ROC CORACOID NAM
BANDA, ORB, BROAD, NAB; BANDA ORB BROAD NAB
GARDA, ORB, BROAD, RAG; GARDA ORB BROAD RAG
HAMADA, ORB, BROAD, AMAH; HAMADA ORB BROAD AMAH
PANDA, ORB, BROAD, NAP; PANDA ORB BROAD NAP
BANDA, NOG, GONAD, NAB; BANDA NOG GONAD NAB
GARDA, NOG, GONAD, RAG; GARDA NOG GONAD RAG
HAMADA, NOG, GONAD, AMAH; HAMADA NOG GONAD AMAH
PANDA, NOG, GONAD, NAP; PANDA NOG GONAD NAP
BANDA, IDEM, MEDIAD, NAB; BANDA IDEM MEDIAD NAB
GARDA, IDEM, MEDIAD, RAG; GARDA IDEM MEDIAD RAG
HAMADA, IDEM, MEDIAD, AMAH; HAMADA IDEM MEDIAD AMAH
PANDA, IDEM, MEDIAD, NAP; PANDA IDEM MEDIAD NAP
BANDA, NOM, MONAD, NAB; BANDA NOM MONAD NAB
